,Id,País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,1,Afeganistão,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
1,2,África do Sul,0,0,0,0,0,0,0,0,0,0,0,121,25,0,0
2,3,"Alemanha, República Democrática",695712,618568,166381,180220,64531,327677,975001,55460,82121,103169,56176,29127,38866,9439,52997
3,4,Angola,96804,139021,223448,82890,11694,10873,35306,18997,42749,71850,1186,1410,0,0,8829
4,5,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,Antígua e Barbuda,0,0,0,0,0,0,0,0,0,0,228,1768,2488,3073,2285
6,7,Antilhas Holandesas,40846,18886,22618,17523,23328,30846,11624,17205,43091,13950,0,0,0,0,0
7,8,Argentina,0,4685,0,68713,0,0,115515,0,0,0,74861,0,5191,19,3712
8,9,Aruba,0,0,0,2580,0,0,1205,0,0,0,0,0,0,0,0
9,10,Austrália,318006,10209,19783,44336,65390,118422,50017,55448,15753,8850,8957,5843,4426,4739,13723
10,11,Áustria,0,0,0,0,0,0,0,0,5895,0,0,0,0,0,218
11,12,Bahamas,0,0,15934,33339,13461,5726,0,0,0,0,775,3915,4915,5650,7014
12,13,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,32,22,91
13,14,Barbados,0,0,0,0,0,0,0,0,0,0,0,430,312,1060,1365
14,15,Barein,0,0,0,0,0,0,0,0,0,0,0,2626,36,1196,3768
15,16,Bélgica,16492,184726,227943,74141,106850,118354,855413,30872,53734,19195,60296,15046,23626,4232,6973
16,17,Belice,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
17,18,Benin,27773,0,0,0,0,0,0,0,25373,0,0,18,0,0,0
18,19,Bolívia,7969,61192,336,32990,28672,45145,30837,23664,30488,32580,78990,0,25925,14210,81541
19,20,Bósnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0
20,21,Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0,77,3456
21,22,Bulgária,0,0,0,0,0,0,0,0,0,1696,0,0,0,0,36
22,23,Cabo Verde,0,0,61357,1425,0,0,0,0,0,0,66,0,0,140,0
23,24,Camarões,0,0,0,0,0,0,0,0,0,9225,0,0,178,0,0
24,25,Canadá,101425,89109,0,156982,160339,199972,261957,142941,84807,36733,25722,8522,10103,7329,6967
25,26,Catar,0,0,0,0,0,0,0,0,0,94944,0,0,0,3,0
26,27,"Cayman, Ilhas",0,0,0,0,0,0,0,0,0,0,222,125,462,460,1118
27,28,Chile,0,5772,0,0,23988,0,0,0,0,0,53881,0,24,32,10080
28,29,China,34615,2035816,3153,389023,730082,320885,519380,270475,633728,333680,157171,506680,485253,326000,510042
29,30,Chipre,0,0,0,0,0,0,0,0,0,0,759,2515,9263,6385,5979
30,31,Cingapura,5932,8529,7037,4228,6522,6545,4428,3890,18644,0,14914,24143,13365,0,0
31,32,"Cocos (Keeling), Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
32,33,Colômbia,0,0,0,0,0,38,0,0,0,0,33217,2896,39440,34027,22285
33,34,Comores,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
34,35,Congo,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0
35,36,"Coreia, Republica Sul",17886,0,0,0,0,0,0,0,28,0,229,264,536,167,334
36,37,Costa do Marfim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,Costa Rica,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,39,Croácia,0,0,0,0,0,0,0,0,0,0,0,0,144,0,518
39,40,Cuba,0,0,0,7779,0,0,82075,206829,133571,135020,10360,0,0,0,22
40,41,Curaçao,0,0,0,0,0,0,0,0,0,35351,67606,96018,113948,91256,107623
41,42,Dinamarca,16423,23760,76195,115854,28518,119807,20111,36386,9449,3410,0,546,2621,591,8
42,43,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,3708
43,44,El Salvador,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0
44,45,Emirados Arabes Unidos,14735,5430,4241,8714,3975,0,4021,4505,3345,3977,2122,2652,2860,11332,90246
45,46,Equador,0,0,0,0,0,0,0,0,0,0,0,5,7604,0,345
46,47,"Eslovaca, Republica",16648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,48,Espanha,9776,6231,0,29824,0,5721920,0,0,0,0,28754,4893,154,0,0
48,49,Estados Unidos,1248502,1032385,707598,1337041,450571,1031924,716483,720005,945483,1656387,681628,826039,910971,314639,668266
49,50,Estônia,13844,16240,56626,5786,22705,0,0,0,5700,0,0,0,0,0,0
50,51,Filipinas,0,0,0,0,0,0,0,0,0,0,25813,3222,2267,13152,1165
51,52,Finlândia,0,0,0,62798,85059,319796,107922,0,48620,0,0,0,0,0,0
52,53,França,38578,0,22518,0,381395,49141,201562,6345,36092,25907,59754,85358,69766,30794,30702
53,54,Gana,43810,0,0,0,0,0,0,0,0,0,22502,17683,40837,31774,85253
54,55,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,116,3629,0,0
55,56,Granada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13524
56,57,Grécia,0,0,0,0,0,0,0,0,0,0,962,2555,24951,3922,3346
57,58,Guatemala,0,40,0,0,0,0,0,0,0,0,0,10316,0,46447,6633
58,59,Guiana,0,0,4437,0,0,0,0,0,0,0,0,1735,3567,8897,7887
59,60,Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,0,122,40
60,61,Guine Bissau,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0
61,62,Guine Equatorial,1965,441,1425,2935,3349,6444,17629,0,0,33202,35197,0,0,0,0
62,63,Haiti,40,10363,6450,0,0,0,0,0,0,0,223925,211676,870280,1501560,1294517
63,64,Honduras,742,44,0,0,0,0,0,0,0,0,0,0,0,0,0
64,65,Hong Kong,15890,77507,0,10038,9262,77237,81664,9066,93174,10114,10771,51671,57146,51897,47589
65,66,Hungria,0,0,4643,0,0,0,0,0,0,0,0,0,0,670,0
66,67,Ilha de Man,0,0,0,0,0,0,0,0,0,0,0,203,132,542,806
67,68,Ilhas Virgens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,69,India,0,0,0,0,0,0,0,0,0,0,0,324,17,99,1268
69,70,Indonésia,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
70,71,Irã,0,0,0,0,0,0,0,0,0,0,0,0,56,403,137
71,72,Iraque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,73,Irlanda,0,0,46764,41066,0,0,0,0,0,0,33327,0,286,244,0
73,74,Itália,0,7068,6286,92297,6414,13677,3096,0,4050,2716,16921,2212,467,4411,7280
74,75,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,76,Japão,410626,501410,186806,245497,146242,521076,508200,119450,125295,126795,149334,140263,129116,129766,119532
76,77,Jordânia,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0
77,78,Letônia,0,0,0,0,0,0,0,0,0,4110,0,0,0,0,0
78,79,Líbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,80,Libéria,0,0,0,0,0,0,0,0,0,0,3758,24509,22779,30614,43960
80,81,Luxemburgo,55947,49969,39893,75139,18991,34609,60681,19653,24185,24666,12831,12877,6196,0,838
81,82,Malásia,0,0,0,0,0,0,0,0,0,0,48,158,0,0,0
82,83,Malta,0,0,0,0,0,0,0,0,0,0,1695,12489,13178,18895,18714
83,84,"Marshall, Ilhas",0,0,0,0,0,0,0,0,0,0,3359,23062,25909,31205,34418
84,85,Mauritânia,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0
85,86,México,0,0,0,8550,0,0,25857,0,0,2956,12492,8,250,11,39
86,87,Moçambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310
87,88,Montenegro,0,0,0,0,0,0,0,0,0,0,0,55,29,79,0
88,89,Namibia,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,90,Nicaragua,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
90,91,Nigéria,18480,156,0,264,16645,3595,0,0,0,0,11425,66992,38608,181419,82517
91,92,Noruega,0,0,0,88956,36619,21383,57643,7079,0,0,11142,3767,16993,10198,43027
92,93,Nova Caledônia,0,0,0,0,0,0,0,0,0,0,0,0,0,19151,0
93,94,Nova Zelândia,0,0,0,10579,11181,5096,16475,4285,9976,9818,6534,3332,610,11134,219
94,95,Omã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864
95,96,Países Baixos,1124047,308645,389550,520770,674520,313482,939056,231451,233156,0,41846,192913,1780,12275,44274
96,97,Panamá,3043,54,0,0,2301,0,0,0,0,0,4300,36935,39193,77964,60882
97,98,Paraguai,3565989,879014,960186,516449,783103,1162392,1429875,1236798,2641156,6668118,8728489,6246124,7168256,13714889,12232963
98,99,Peru,0,0,0,0,0,0,0,0,0,0,24565,27065,0,26827,0
99,100,Polônia,78643,42779,115662,62416,110821,110209,138138,54435,46859,0,5399,16,160,18,0
100,101,Porto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,102,Portugal,98032,309923,23547,1126,94194,41437,150685,90322,0,0,0,90741,42476,48991,9531
102,103,Quênia,0,0,0,0,552,10,0,0,0,0,37996,0,0,0,3520
103,104,Reino Unido,255173,98880,419314,408271,417793,364166,1679554,376789,653725,303594,364535,198887,105635,147710,156989
104,105,República Dominicana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,106,Rússia,8560426,27645194,0,0,6632144,20688985,252096,65904,0,0,0,0,10013,494857,184664
106,107,São Tomé e Príncipe,0,0,0,0,0,0,0,0,0,0,4541,0,0,0,0
107,108,São Vicente e Granadinas,0,0,0,0,0,0,0,0,0,0,0,0,0,56,71
108,109,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,110,Serra Leoa,0,0,0,0,0,0,0,0,0,0,0,735,22290,19480,23283
110,111,Singapura,0,0,0,0,0,0,0,0,0,0,0,0,0,18850,19756
111,112,Suazilândia,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
112,113,Suécia,111548,81160,0,16117,19985,23378,61461,7816,1505,80398,42625,789,30,97,23
113,114,Suíça,270701,108972,23625,0,51254,32782,259695,101662,37570,81341,0,30726,30757,7626,22447
114,115,Suriname,2525,16748,3105,7509,1684,4760,25,1166,2275,9328,0,7947,9462,2372,4585
115,116,Tailândia,0,0,0,0,0,0,0,0,0,0,53,960,2287,3863,2145
116,117,Taiwan (FORMOSA),28709,0,0,15100,0,0,80426,31140,97346,58942,26010,79,5636,9466,302
117,118,Tanzânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,119,"Tcheca, República",81844,53171,6376,44117,35749,27246,39505,17601,32310,19693,23692,18506,5368,6444,11302
119,120,Togo,12960,0,0,0,0,0,0,0,0,0,0,0,0,3902,42925
120,121,Trinidade Tobago,0,0,0,0,3251,0,1960,0,0,0,0,0,0,0,0
121,122,Tunísia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,123,Turquia,0,0,0,0,0,0,0,0,0,0,510,324,0,1221,921
123,124,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
124,125,Uruguai,0,0,3843,5642,5014,14869,0,0,0,0,37328,24677,0,286616,1634484
125,126,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
126,127,Venezuela,0,0,0,0,8521,0,246,0,0,3326,426,0,13894,62359,55571
127,128,Vietnã,0,2886,18797,0,0,0,0,0,0,0,0,52,670,0,407
